time_s,imu_acc_norm_mps2,imu_gyro_norm_rps,stationary_flag,zupt_update_count,update_applied,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps
61.499954277,9.64889371897,0.0280501782526,1,161,1,0.0645882850426,-0.0933391406761,0.0207626360407,-0.064022246798,0.128093984349,0.0114554222047
62.199954277,9.61724882698,0.0344474237063,0,161,0,-0.0335033081267,0.0413068051369,0.0101392835173,-0.153508405629,0.201082898533,-0.0760104107304
62.499954277,9.58104639379,0.0127328315782,0,161,0,-0.0867550796831,0.102528823603,0.00986969934757,-0.165338941949,0.189127810924,-0.0661576309729
62.799954277,9.61213555876,0.0175730617708,0,161,0,-0.141490966488,0.156297984679,0.0149866595042,-0.163675424307,0.161967802886,-0.0451097864887
62.999954277,9.69608555037,0.0141730377831,1,162,1,-0.180259260236,0.195279141749,0.0116952008649,-0.162480499201,0.155484903567,-0.0479008390572
63.299954277,9.74666737916,0.027940785601,1,163,1,-0.230037098952,0.218286101823,-0.00501578946446,-0.142924021906,0.073059711096,-0.065596857565
63.899954277,9.88598376491,0.0186245805322,1,164,1,-0.216503453114,0.161943542651,-0.00799448534263,0.0398409390546,-0.128717624567,0.00273711894185
63.999954277,9.89582108771,0.0209075345271,1,165,1,-0.182190568059,0.148762996694,0.00436929674376,0.123502233241,-0.130757673135,0.0296678949427
64.999954277,9.8919575919,0.0231516738056,1,166,1,-0.00880729967548,-0.0427346068507,0.0121037697652,0.173094665844,-0.172442284957,0.0787648794425
65.499954277,9.85012817175,0.0187566654819,1,167,1,0.0629059582368,-0.130424394678,0.00235070811227,0.120364808665,-0.130103872068,0.0309221592456
65.699954277,9.82184936761,0.00573367247059,1,168,1,0.08877656478,-0.144915784895,0.00372626930221,0.111359014885,-0.0762024942486,0.0306396286475
66.499954277,9.63157956931,0.0364391616259,1,169,1,0.0264254705575,-0.0835300964122,0.00204960682797,-0.131359613157,0.133636948288,-0.0305596706908
66.699954277,9.60729280287,0.0269664142963,1,170,1,-0.00191164824072,-0.050634916621,-0.00279845127832,-0.137608392698,0.156004599462,-0.0510860634465
67.599954277,9.63086444718,0.00969535971483,0,170,0,-0.0301380645287,0.492439667955,0.449721311325,-0.209261045967,0.602003072218,0.484837881011
67.699954277,9.68063660097,0.0270254509676,0,170,0,-0.143617382739,0.28564927142,0.225644634705,-0.371575223957,0.0373062746833,0.0107481067048
67.899954277,9.63116945132,0.0215319530001,1,171,1,-0.218096623104,0.224334821408,0.0924431271025,-0.320379577784,-0.151523645469,-0.313539869659
67.999954277,9.69132601866,0.0163114223782,1,172,1,-0.229696842166,0.19792366475,0.0356393691962,-0.239868598417,-0.186401468403,-0.372655594455
68.199954277,9.73656638657,0.0167350679712,1,173,1,-0.237348557179,0.188084333611,-0.00539853647069,-0.11585245959,-0.139902704669,-0.29735933265
68.699954277,9.87128917619,0.012539936204,1,174,1,-0.196431679937,0.176690015828,-0.00684011147747,0.0917676540022,-0.0762960609155,-0.040839216299
69.699954277,9.93716005708,0.0124824877328,1,175,1,0.0309437913071,0.0288162424345,0.0257491455505,0.228631049706,-0.181534810719,0.106977642672
69.799954277,9.90260193081,0.0160643238264,1,176,1,0.0113946502353,0.00627423268471,0.0221307239051,0.106581519532,-0.180369066848,0.100981467596
71.499954277,9.66656479831,0.0297352904812,1,177,1,-0.034214776215,-0.0342502136375,0.000412211034145,-0.0806521927128,0.0925153806784,-0.0781998047083
71.899954277,9.6256363426,0.0159256083086,1,178,1,-0.103855992749,0.0184020950478,-0.00116925521369,-0.14911803042,0.129188130064,-0.0538779672811
72.899954277,9.72080500782,0.0253882354645,1,179,1,-0.212322335119,0.173165278012,0.0176773067285,-0.0398158732989,0.124836266554,-0.0185628228485
73.099954277,9.77070877675,0.00778219120814,1,180,1,-0.211482315999,0.1812279552,0.0186759050916,0.00233656853585,0.063485968202,-0.0125255087768
73.399954277,9.80598924127,0.0204159863832,1,181,1,-0.181536233007,0.183659209492,0.0224102916707,0.09743102722,0.00878591407875,0.00686450318332
73.599954277,9.84094634677,0.0218260165857,1,182,1,-0.161485157146,0.178033312663,0.0265213221293,0.112866034369,-0.0202720669693,0.0224360681123
73.699954277,9.86658248838,0.016147755262,1,183,1,-0.1507311445,0.171157851306,0.0291020990582,0.114926854633,-0.0390276931495,0.0319977390447
73.999954277,9.85121058551,0.0115704364654,1,184,1,-0.101439270597,0.13867884837,0.0315341983006,0.154826177842,-0.0943298016339,0.0402616905316
74.399954277,9.871765293,0.0118348003785,1,185,1,-0.0392416953015,0.0845713145665,0.0171479552595,0.149280254074,-0.125116191719,0.0190620735857
74.599954277,9.87702510881,0.00949341877302,1,186,1,-0.0139242974671,0.0534401147521,0.0087849212122,0.129655601412,-0.129544584123,0.0123143885413
74.699954277,9.85223832436,0.0113743131661,1,187,1,-0.00420555181462,0.0403296680336,0.00491748158525,0.112722911928,-0.12190985626,0.00961157173499
74.799954277,9.82805932013,0.0201695934515,1,188,1,0.00543584195281,0.0286122918225,0.00318784066839,0.0996297611548,-0.111471852771,0.0126274126014
75.499954277,9.7737096335,0.0147901994577,1,189,1,0.0196938491596,-0.0248490260527,-0.00270084397422,-0.00852296023272,-0.0433479252268,0.00677235893342
75.599954277,9.77788959848,0.0102895578136,1,190,1,0.0177310526053,-0.0308286668098,-0.00346549800402,-0.0128896193325,-0.038829708485,0.00485872714376
75.999954277,9.70670644452,0.0340670295154,1,191,1,-0.0240401011321,-0.0279030894948,-0.00293581027246,-0.0948394417742,0.0181655068009,-0.00861406082053
76.199954277,9.70164161367,0.012820881405,1,192,1,-0.0546674119573,-0.0121941102343,-0.00225516929498,-0.120921978898,0.0542034557554,-0.0163405054727
76.899954277,9.66064697626,0.0198651705253,1,193,1,-0.15588519209,0.063084150707,0.0208342634679,-0.120116132292,0.113713157263,-0.00457403907759
77.399954277,9.68044678721,0.0232177195263,1,194,1,-0.196240561345,0.113417557423,0.030565617416,-0.0509945327774,0.0920752797793,-0.00389651622276
