wall_time,t,event,detail
2026-09-01T22:14:46+0800,0.000,recorder_started,prefix=/home/jkjkzhang/lidar_project/report4/data/sudden_obstacle_20260901_sudden02
2026-09-01T22:14:49+0800,3.371,goal_status,IDLE code=0; status_seq=1
2026-09-01T22:14:54+0800,8.124,goal_received,frame=camera_init; x=24.000; y=0.000
2026-09-01T22:14:54+0800,8.125,goal_status,QUEUED code=1; waiting for Nav2 action server; status_seq=2
2026-09-01T22:14:54+0800,8.128,goal_status,ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:14:54+0800,8.143,plan_received,id=1; source=/unsmoothed_plan; points=33; frame=camera_init; world_frame=camera_init
2026-09-01T22:16:08+0800,82.227,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:08+0800,82.327,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:08+0800,82.427,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:08+0800,82.527,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:08+0800,82.626,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:09+0800,82.726,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:09+0800,82.827,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:09+0800,82.927,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:09+0800,83.027,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:09+0800,83.127,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:09+0800,83.227,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:09+0800,83.329,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:09+0800,83.427,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:09+0800,83.527,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:09+0800,83.627,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:10+0800,83.726,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:10+0800,83.826,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:10+0800,83.926,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:10+0800,84.026,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:10+0800,84.126,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:10+0800,84.227,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:16:10+0800,84.327,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
