time_s,raw_hz,filtered_hz,odom_hz,registered_hz,structure_hz,raw_obstacle_hz,safety_hz,clock_hz,local_costmap_hz,obstacle_layer_hz,raw_points,filtered_points,registered_points,structure_points,raw_obstacle_points,safety_points,costmap_nonfree_cells,costmap_inscribed_cells,costmap_lethal_cells,obstacle_layer_nonfree_cells,obstacle_layer_lethal_cells,lio_x_m,lio_y_m,lio_z_m,truth_x_m,truth_y_m,truth_z_m,structure_stamp_zero,raw_obstacle_stamp_zero,safety_stamp_zero,ros_clock_s,safety_stamp_s,costmap_stamp_s,safety_age_s,costmap_age_s
11.000066544998845,2.9999832420934807,0.0,327.99816780222056,0.9999944140311603,0.9999944140311603,3.999977656124641,3.999977656124641,228.9987208131357,1.9999888280623206,1.9999888280623206,69984,23753,8026,188,3515,3515,4103,2463,412,412,412,-2.9762486427077466,2.1961832120009954,-0.055169800658314984,-548.3438899146315,161.39716090130378,-0.0979580285623388,1,1,0,9482.512,9482.232,9482.448,0.28000000000065484,0.06400000000030559
12.001284280999243,1.997567490154013,1.997567490154013,659.1972717508243,0.9987837450770065,0.9987837450770065,1.997567490154013,1.997567490154013,248.6971525241746,0.9987837450770065,0.9987837450770065,69984,23827,8030,167,3539,3539,4108,2469,421,421,421,-3.0120047369357956,2.199798368250575,-0.059629845490092384,-548.3428201282666,161.39771175781925,-0.09112921006717019,1,1,0,9483.508,9483.32,9483.048,0.18800000000010186,0.4599999999991269
13.000699688996974,6.00350960369987,2.0011698678999568,340.19887754299265,2.0011698678999568,2.0011698678999568,4.0023397357999135,4.0023397357999135,250.14623348749458,2.0011698678999568,2.0011698678999568,69984,24010,8111,178,3700,3700,4246,2620,493,493,493,-3.065269999432195,2.2037693214714946,-0.06752500843610018,-548.3427209949459,161.39815131140588,-0.1256677850133526,1,1,0,9484.508,9484.232,9484.244,0.27599999999983993,0.2639999999992142
14.004518176996498,3.984784149544271,1.9923920747721355,883.625885161442,2.988588112158203,2.988588112158203,2.988588112158203,2.988588112158203,226.13650048663737,1.9923920747721355,1.9923920747721355,69984,24009,8108,164,3732,3732,4246,2638,491,491,491,-3.0698129923744517,2.2078971394000217,-0.07404410503483543,-548.3443321219814,161.39796223085753,-0.14779235690118328,1,1,0,9485.416,9485.224,9485.364,0.19199999999909778,0.05199999999967986
15.000068361998274,8.035757634845634,3.013409113067113,901.0093248070667,3.013409113067113,3.013409113067113,8.035757634845634,8.035757634845634,245.09060786279184,1.0044697043557043,1.0044697043557043,69984,23654,7991,231,3662,3662,4173,2570,436,436,436,-2.9655742890228494,2.189644985843803,-0.04442066083688327,-548.345785714292,161.39753572994397,-0.12246770212839238,1,1,0,9486.392,9486.324,9485.936,0.06799999999930151,0.45600000000013097
16.000061776998336,5.000032925216499,3.0000197551298995,646.0042539379717,2.0000131700865995,2.0000131700865995,3.0000197551298995,3.0000197551298995,248.00163309073835,2.0000131700865995,2.0000131700865995,69984,23685,8019,209,3607,3607,4070,2451,419,419,419,-2.968217845437277,2.1718857892071606,-0.04896617644247365,-548.3453576919153,161.3974533403695,-0.07963262509774303,1,1,0,9487.384,9487.116,9487.132,0.2680000000000291,0.25200000000040745
17.000118444997497,3.999773340847678,1.999886670423839,614.9651511553304,1.999886670423839,1.999886670423839,1.999886670423839,1.999886670423839,237.98651378043684,1.999886670423839,1.999886670423839,69984,23876,8025,177,3573,3573,4111,2493,437,437,437,-2.9894065128304175,2.1826453247422832,-0.055398532322214915,-548.3441132522524,161.39822610826263,-0.08253365365074036,1,1,0,9488.336,9488.324,9488.284,0.011999999998806743,0.05199999999967986
18.00031932699858,2.9993974750331764,1.9995983166887843,781.8429418253147,1.9995983166887843,1.9995983166887843,2.9993974750331764,2.9993974750331764,234.95280221093216,0.9997991583443921,0.9997991583443921,69984,23911,8100,170,3691,3691,4301,2653,477,477,477,-3.0546683617934267,2.232656884971838,-0.06539830407876247,-548.3444973406249,161.39858712743904,-0.12636549254549811,1,1,0,9489.276,9489.124,9488.824,0.15200000000004366,0.45199999999931606
19.002743722998275,3.990325869923472,2.9927444024426038,869.8910396433168,2.9927444024426038,2.9927444024426038,4.98790733740434,4.98790733740434,243.40987806533178,1.995162934961736,1.995162934961736,69984,23899,8083,153,3666,3666,4282,2663,487,487,487,-2.999343363105699,2.217543814904648,-0.06219144708570917,-548.3465329182031,161.3987776294994,-0.15316526185200738,1,1,0,9490.252,9490.22,9489.996,0.03200000000106229,0.25600000000122236
20.000066956999945,5.013419751526245,3.008051850915747,1085.9067181805847,4.010735801220996,4.010735801220996,4.010735801220996,4.010735801220996,245.65756782478599,2.005367900610498,2.005367900610498,69984,23660,7977,222,3668,3668,4175,2578,448,448,448,-2.9563598928322268,2.1965268648169762,-0.046670258394772984,-548.3477926090769,161.3993329405203,-0.1263821104165265,1,1,0,9491.232,9491.044,9491.168,0.18800000000010186,0.06400000000030559
