t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts
35.600,-0.057,0.135,-0.0058,10.000,0.000,1,0.000,0.000,-0.177,-0.057,0.125,0.059,-0.0077,PLAN,966
35.800,-0.057,0.135,-0.0058,10.000,0.000,1,0.000,0.000,-0.177,-0.057,0.125,0.059,-0.0077,PLAN,966
36.000,-0.081,0.156,-0.0057,10.000,0.000,1,0.000,0.000,0.157,0.001,0.106,0.035,-0.0097,PLAN,966
36.200,-0.056,0.120,0.0032,10.000,0.000,1,0.000,0.000,0.209,0.007,0.140,0.061,-0.0152,PLAN,932
36.400,-0.072,0.127,-0.0020,10.000,0.000,1,0.000,0.000,-0.003,-0.080,0.134,0.045,-0.0106,PLAN,959
36.601,-0.079,0.132,0.0002,10.000,0.000,1,0.000,0.000,-0.113,0.021,0.129,0.038,-0.0133,PLAN,940
36.800,-0.079,0.132,0.0002,10.000,0.000,1,0.000,0.000,-0.113,0.021,0.129,0.038,-0.0133,PLAN,940
37.000,-0.085,0.133,-0.0027,10.000,0.000,1,0.000,0.000,0.016,-0.002,0.128,0.032,-0.0105,PLAN,940
37.200,-0.106,0.124,0.0007,10.000,0.000,1,0.000,0.000,-0.181,-0.014,0.138,0.011,-0.0130,PLAN,952
37.401,-0.106,0.124,0.0007,10.000,0.000,1,0.000,0.000,-0.181,-0.014,0.138,0.011,-0.0130,PLAN,952
37.600,-0.106,0.124,0.0007,10.000,0.000,1,0.000,0.000,-0.181,-0.014,0.138,0.011,-0.0130,PLAN,952
37.800,-0.106,0.124,0.0007,10.000,0.000,1,0.000,0.000,-0.181,-0.014,0.138,0.011,-0.0130,PLAN,952
38.000,-0.095,0.396,0.0040,10.000,0.000,1,0.000,0.000,0.034,-0.199,0.135,0.014,-0.0432,PLAN,952
38.200,-0.039,0.343,0.0005,10.000,0.000,1,0.000,0.000,0.065,0.099,0.083,0.072,-0.0347,PLAN,952
38.400,-0.039,0.343,0.0005,10.000,0.000,1,0.000,0.000,0.065,0.099,0.083,0.072,-0.0347,PLAN,952
38.600,-0.039,0.343,0.0005,10.000,0.000,1,0.000,0.000,0.065,0.099,0.083,0.072,-0.0347,PLAN,952
38.800,-0.039,0.343,0.0005,10.000,0.000,1,0.000,0.000,0.065,0.099,0.083,0.072,-0.0347,PLAN,952
39.000,-0.039,0.343,0.0005,10.000,0.000,1,0.000,0.000,0.065,0.099,0.083,0.072,-0.0347,PLAN,952
39.200,-0.083,-0.006,-0.0103,10.000,0.000,1,0.000,0.000,-0.823,-0.016,0.267,0.037,0.0109,PLAN,847
39.400,-0.233,0.252,0.0112,10.000,0.000,1,0.000,0.000,-0.776,0.079,0.013,-0.119,-0.0359,PLAN,983
39.600,-0.223,0.270,0.0076,10.000,0.000,1,0.000,0.000,-0.539,-0.093,0.005,-0.110,-0.0340,PLAN,961
39.800,-0.110,0.181,-0.0057,10.000,0.000,1,0.000,0.000,0.484,-0.097,0.081,0.006,-0.0123,PLAN,961
40.000,-0.094,0.150,0.0035,10.000,0.000,1,0.000,0.000,0.279,-0.033,0.111,0.022,-0.0184,PLAN,955
40.200,-0.120,0.181,0.0049,10.000,0.000,1,0.000,0.000,-0.035,-0.013,0.081,-0.005,-0.0228,PLAN,958
40.400,-0.127,0.175,0.0008,10.000,0.000,1,0.000,0.000,-0.127,-0.094,0.088,-0.012,-0.0180,PLAN,944
40.600,-0.127,0.175,0.0008,10.000,0.000,1,0.000,0.000,-0.127,-0.094,0.088,-0.012,-0.0180,PLAN,944
40.800,-0.092,0.203,0.0005,10.000,0.000,1,0.000,0.000,0.057,0.037,0.059,0.023,-0.0207,PLAN,944
41.001,-0.089,0.141,0.0029,10.000,0.000,1,0.000,0.000,-0.067,-0.174,0.121,0.027,-0.0169,PLAN,944
41.200,-0.089,0.141,0.0029,10.000,0.000,1,0.000,0.000,-0.067,-0.174,0.121,0.027,-0.0169,PLAN,944
