t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts
12.800,-0.390,0.540,-0.0015,0.000,0.000,0,0.000,0.000,0.027,0.072,0.000,0.000,0.0000,PLAN,167
13.000,-0.373,0.513,0.0003,0.000,0.000,0,0.000,0.000,0.098,0.007,0.000,0.000,0.0000,PLAN,182
13.200,-0.320,0.478,-0.0052,0.000,0.000,0,0.000,0.000,0.610,-0.030,0.000,0.000,0.0000,PLAN,182
13.400,-0.335,0.455,-0.0018,0.000,0.000,0,0.000,0.000,0.112,-0.064,0.000,0.000,0.0000,PLAN,208
13.600,-0.335,0.455,-0.0018,0.000,0.000,0,0.000,0.000,0.112,-0.064,0.000,0.000,0.0000,PLAN,208
13.801,-0.350,0.439,0.0012,0.000,0.000,0,0.000,0.000,0.088,0.014,0.000,0.000,0.0000,PLAN,208
14.000,-0.357,0.419,-0.0011,0.000,0.000,0,0.000,0.000,-0.012,0.063,0.000,0.000,0.0000,PLAN,219
14.200,-0.349,0.390,-0.0045,0.000,0.000,0,0.000,0.000,-0.100,-0.013,0.000,0.000,0.0000,PLAN,227
14.400,-0.349,0.398,0.0002,0.000,0.000,0,0.000,0.000,0.081,-0.072,0.000,0.000,0.0000,PLAN,235
14.600,-0.357,0.423,0.0013,0.000,0.000,0,0.000,0.000,0.115,-0.009,0.000,0.000,0.0000,PLAN,235
14.800,-0.395,0.443,-0.0012,0.000,0.000,0,0.000,0.000,-0.176,0.048,0.000,0.000,0.0000,PLAN,236
15.000,-0.369,0.418,0.0004,0.000,0.000,0,0.000,0.000,0.100,-0.019,0.000,0.000,0.0000,PLAN,240
15.201,-0.376,0.426,0.0004,0.000,0.000,0,0.000,0.000,0.089,0.066,0.000,0.000,0.0000,PLAN,240
15.400,-0.441,0.452,-0.0009,0.000,0.000,0,0.000,0.000,-0.243,-0.002,0.000,0.000,0.0000,PLAN,241
15.600,-0.410,0.452,-0.0043,0.000,0.000,0,0.000,0.000,-0.009,-0.238,0.000,0.000,0.0000,PLAN,228
15.800,-0.436,0.478,-0.0057,0.000,0.000,0,0.000,0.000,-0.113,-0.101,0.000,0.000,0.0000,PLAN,233
16.000,-0.388,0.476,-0.0036,0.000,0.000,0,0.000,0.000,0.369,0.024,0.000,0.000,0.0000,PLAN,220
16.200,-0.447,0.502,-0.0002,0.000,0.000,0,0.000,0.000,-0.235,0.103,0.000,0.000,0.0000,PLAN,220
16.401,-0.438,0.531,0.0007,0.000,0.000,0,0.000,0.000,0.062,-0.027,0.000,0.000,0.0000,PLAN,199
16.600,-0.432,0.551,-0.0002,0.000,0.000,0,0.000,0.000,0.217,-0.008,0.000,0.000,0.0000,PLAN,197
16.800,-0.460,0.561,-0.0038,0.000,0.000,0,0.000,0.000,-0.103,-0.037,0.000,0.000,0.0000,PLAN,197
17.000,-0.423,0.558,-0.0007,0.000,0.000,0,0.000,0.000,0.132,-0.023,0.000,0.000,0.0000,PLAN,191
17.200,-0.438,0.575,-0.0007,0.000,0.000,0,0.000,0.000,0.004,-0.169,0.000,0.000,0.0000,PLAN,194
17.400,-0.415,0.587,-0.0013,0.000,0.000,0,0.000,0.000,0.222,0.081,0.000,0.000,0.0000,PLAN,191
17.600,-0.415,0.587,-0.0013,0.000,0.000,0,0.000,0.000,0.222,0.081,0.000,0.000,0.0000,PLAN,191
17.800,-0.419,0.591,-0.0006,0.000,0.000,0,0.000,0.000,0.052,0.038,0.000,0.000,0.0000,PLAN,184
18.000,-0.390,0.590,0.0015,0.000,0.000,0,0.000,0.000,0.231,0.010,0.000,0.000,0.0000,PLAN,177
18.200,-0.393,0.589,0.0006,0.000,0.000,0,0.000,0.000,0.180,-0.019,0.000,0.000,0.0000,PLAN,178
18.400,-0.411,0.541,-0.0020,0.000,0.000,0,0.000,0.000,-0.041,0.064,0.000,0.000,0.0000,PLAN,178
18.600,-0.404,0.557,-0.0015,0.000,0.000,0,0.000,0.000,-0.132,0.002,0.000,0.000,0.0000,PLAN,170
18.800,-0.383,0.555,0.0013,0.000,0.000,0,0.000,0.000,0.072,0.019,0.000,0.000,0.0000,PLAN,170
