t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop
23.600,-0.5328,0.5744,-0.00174,,,0,IDLE code=0; status_seq=1,0,,4459,0,1
23.800,-0.5315,0.5714,0.00217,,,0,IDLE code=0; status_seq=1,0,,4676,0,1
24.000,-0.5315,0.5714,0.00217,,,0,IDLE code=0; status_seq=1,0,,4676,0,1
24.200,-0.5341,0.5651,-0.00308,,,0,IDLE code=0; status_seq=1,0,,4676,0,1
24.400,-0.5238,0.5542,-0.00248,,,0,IDLE code=0; status_seq=1,0,,4676,0,1
24.600,-0.5183,0.5519,0.00164,,,0,IDLE code=0; status_seq=1,0,,4676,0,1
24.800,-0.5149,0.5532,-0.00287,,,0,IDLE code=0; status_seq=1,0,,4705,0,1
25.001,-0.5063,0.5505,0.00015,,,0,IDLE code=0; status_seq=1,0,,4705,0,1
25.201,-0.5023,0.5484,0.00203,,,0,IDLE code=0; status_seq=1,0,,4705,0,1
25.400,-0.4991,0.5510,-0.00341,,,0,IDLE code=0; status_seq=1,0,,4705,0,1
25.601,-0.4941,0.5534,-0.00200,,,0,IDLE code=0; status_seq=1,0,,4705,0,1
25.800,-0.4913,0.5552,-0.00169,,,0,IDLE code=0; status_seq=1,0,,4705,0,1
26.000,-0.4892,0.5565,0.00026,,,0,IDLE code=0; status_seq=1,0,,4391,0,1
26.201,-0.4881,0.5585,0.00124,,,0,IDLE code=0; status_seq=1,0,,4391,0,1
26.400,-0.4871,0.5613,0.00215,,,0,IDLE code=0; status_seq=1,0,,4391,0,1
26.600,-0.4869,0.5651,0.00074,,,0,IDLE code=0; status_seq=1,0,,4391,0,1
26.800,-0.4864,0.5650,0.00101,,,0,IDLE code=0; status_seq=1,0,,4391,0,1
27.000,-0.4909,0.5776,0.00216,,,0,IDLE code=0; status_seq=1,0,,4391,0,1
27.200,-0.4905,0.5774,0.00242,,,0,IDLE code=0; status_seq=1,0,,4391,0,1
27.400,-0.4905,0.5774,0.00242,,,0,IDLE code=0; status_seq=1,0,,4310,0,1
27.600,-0.4976,0.5988,0.00293,,,0,IDLE code=0; status_seq=1,0,,4310,0,1
27.801,-0.5034,0.6062,0.00131,,,0,IDLE code=0; status_seq=1,0,,4310,0,1
28.000,-0.5078,0.6115,-0.00223,,,0,IDLE code=0; status_seq=1,0,,4310,0,1
28.200,-0.5092,0.6156,0.00258,,,0,IDLE code=0; status_seq=1,0,,4310,0,1
28.400,-0.5092,0.6156,0.00258,,,0,IDLE code=0; status_seq=1,0,,4310,0,1
28.601,-0.5153,0.6177,0.00201,,,0,IDLE code=0; status_seq=1,0,,4310,0,1
28.801,-0.5199,0.6176,0.00097,,,0,IDLE code=0; status_seq=1,0,,4496,0,1
29.001,-0.5199,0.6176,0.00097,,,0,IDLE code=0; status_seq=1,0,,4496,0,1
29.200,-0.5257,0.6129,0.00037,,,0,IDLE code=0; status_seq=1,0,,4496,0,1
29.400,-0.5277,0.6075,-0.00007,,,0,IDLE code=0; status_seq=1,0,,4496,0,1
29.601,-0.5263,0.6072,0.00050,,,0,IDLE code=0; status_seq=1,0,,4496,0,1
29.800,-0.5263,0.6072,0.00050,,,0,IDLE code=0; status_seq=1,0,,4496,0,1
30.000,-0.5263,0.6072,0.00050,,,0,IDLE code=0; status_seq=1,0,,4496,0,1
30.201,-0.5139,0.6066,0.00226,,,0,IDLE code=0; status_seq=1,0,,4776,0,1
30.401,-0.5086,0.5673,0.00158,,,0,IDLE code=0; status_seq=1,0,,4776,0,1
30.600,-0.5014,0.5568,0.00109,,,0,IDLE code=0; status_seq=1,0,,4776,0,1
30.800,-0.5007,0.5528,-0.00019,,,0,IDLE code=0; status_seq=1,0,,4776,0,1
31.000,-0.4964,0.5515,0.00132,,,0,IDLE code=0; status_seq=1,0,,4776,0,1
31.200,-0.4964,0.5515,0.00132,,,0,IDLE code=0; status_seq=1,0,,4776,0,1
31.401,-0.4940,0.5500,-0.00173,,,0,IDLE code=0; status_seq=1,0,,4776,0,1
31.600,-0.4875,0.5471,-0.00099,,,0,IDLE code=0; status_seq=1,0,,4569,0,1
31.801,-0.4825,0.5457,-0.00132,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4569,0,1
32.000,-0.4799,0.5444,0.00199,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4569,0,1
32.200,-0.4784,0.5517,0.00104,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4569,0,1
32.400,-0.4806,0.5555,0.00147,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4569,0,1
32.600,-0.4831,0.5601,0.00134,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4569,0,1
32.801,-0.4825,0.5602,0.00163,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4313,0,1
33.000,-0.4853,0.5696,-0.00447,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4313,0,1
33.200,-0.4895,0.5753,0.00134,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4313,0,1
33.400,-0.4895,0.5753,0.00134,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4313,0,1
33.600,-0.4895,0.5753,0.00134,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4313,0,1
33.800,-0.5114,0.6106,0.00037,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4313,0,1
34.000,-0.5114,0.6106,0.00037,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4313,0,1
34.200,-0.5177,0.6170,-0.00721,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4429,0,1
34.400,-0.5288,0.6324,0.00098,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4429,0,1
34.600,-0.5312,0.6331,-0.00033,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4429,0,1
34.801,-0.5322,0.6364,0.00375,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4429,0,1
35.000,-0.5337,0.6371,0.00194,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4429,0,1
35.200,-0.5353,0.6369,0.00088,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4429,0,1
35.400,-0.5353,0.6369,0.00088,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4576,0,1
35.600,-0.5367,0.6312,-0.00002,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4576,0,1
35.801,-0.5370,0.6275,-0.00170,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4576,0,1
36.000,-0.5346,0.6258,0.00102,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4576,0,1
36.200,-0.5341,0.6188,-0.00014,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4576,0,1
36.401,-0.5303,0.6151,-0.00192,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4576,0,1
36.601,-0.5246,0.6059,-0.00078,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4818,0,1
36.800,-0.5201,0.6037,0.00137,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4818,0,1
37.001,-0.5181,0.5963,0.00042,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4818,0,1
37.200,-0.5098,0.5877,0.00103,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4818,0,1
37.400,-0.5069,0.5839,-0.00014,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4818,0,1
37.601,-0.4998,0.5780,0.00064,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4818,0,1
37.800,-0.4978,0.5775,0.00082,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4818,0,1
38.001,-0.4971,0.5752,0.00117,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4818,0,1
38.200,-0.4931,0.5722,0.00033,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4576,0,1
38.400,-0.4914,0.5709,0.00086,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4576,0,1
38.600,-0.4914,0.5699,0.00273,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4576,0,1
38.801,-0.4910,0.5701,0.00266,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4576,0,1
39.000,-0.4910,0.5701,0.00266,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4576,0,1
