plan_id,t,source,frame_id,point_index,x,y,yaw
7,35.665,/received_global_plan,wamv/wamv/base_link,0,0.0042,-0.0045,-0.61522
7,35.665,/received_global_plan,wamv/wamv/base_link,1,0.6424,-0.4555,-0.66151
7,35.665,/received_global_plan,wamv/wamv/base_link,2,1.2532,-0.9311,-0.72636
7,35.665,/received_global_plan,wamv/wamv/base_link,3,1.8212,-1.4357,-0.77024
7,35.665,/received_global_plan,wamv/wamv/base_link,4,2.3504,-1.9491,-0.75713
7,35.665,/received_global_plan,wamv/wamv/base_link,5,2.8639,-2.4343,-0.67079
7,35.665,/received_global_plan,wamv/wamv/base_link,6,3.3893,-2.8512,-0.51452
7,35.665,/received_global_plan,wamv/wamv/base_link,7,3.9428,-3.1641,-0.30389
7,35.665,/received_global_plan,wamv/wamv/base_link,8,4.5247,-3.3466,-0.06312
7,35.665,/received_global_plan,wamv/wamv/base_link,9,5.1222,-3.3844,0.17853
7,35.665,/received_global_plan,wamv/wamv/base_link,10,5.7170,-3.2770,0.39289
7,35.665,/received_global_plan,wamv/wamv/base_link,11,6.2931,-3.0383,0.55845
7,35.665,/received_global_plan,wamv/wamv/base_link,12,6.8435,-2.6944,0.66303
7,35.665,/received_global_plan,wamv/wamv/base_link,13,7.3738,-2.2803,0.70540
7,35.665,/received_global_plan,wamv/wamv/base_link,14,7.8985,-1.8334,0.69350
7,35.665,/received_global_plan,wamv/wamv/base_link,15,8.4348,-1.3877,0.64276
7,35.665,/received_global_plan,wamv/wamv/base_link,16,8.9953,-0.9679,0.58006
7,35.665,/received_global_plan,wamv/wamv/base_link,17,9.5822,-0.5834,0.53709
7,35.665,/received_global_plan,wamv/wamv/base_link,18,10.1857,-0.2240,-0.00261
8,35.764,/received_global_plan,wamv/wamv/base_link,0,0.0042,-0.0045,-0.61522
8,35.764,/received_global_plan,wamv/wamv/base_link,1,0.6424,-0.4555,-0.66151
8,35.764,/received_global_plan,wamv/wamv/base_link,2,1.2532,-0.9311,-0.72636
8,35.764,/received_global_plan,wamv/wamv/base_link,3,1.8212,-1.4357,-0.77024
8,35.764,/received_global_plan,wamv/wamv/base_link,4,2.3504,-1.9491,-0.75713
8,35.764,/received_global_plan,wamv/wamv/base_link,5,2.8639,-2.4343,-0.67079
8,35.764,/received_global_plan,wamv/wamv/base_link,6,3.3893,-2.8512,-0.51452
8,35.764,/received_global_plan,wamv/wamv/base_link,7,3.9428,-3.1641,-0.30389
8,35.764,/received_global_plan,wamv/wamv/base_link,8,4.5247,-3.3466,-0.06312
8,35.764,/received_global_plan,wamv/wamv/base_link,9,5.1222,-3.3844,0.17853
8,35.764,/received_global_plan,wamv/wamv/base_link,10,5.7170,-3.2770,0.39289
8,35.764,/received_global_plan,wamv/wamv/base_link,11,6.2931,-3.0383,0.55845
8,35.764,/received_global_plan,wamv/wamv/base_link,12,6.8435,-2.6944,0.66303
8,35.764,/received_global_plan,wamv/wamv/base_link,13,7.3738,-2.2803,0.70540
8,35.764,/received_global_plan,wamv/wamv/base_link,14,7.8985,-1.8334,0.69350
8,35.764,/received_global_plan,wamv/wamv/base_link,15,8.4348,-1.3877,0.64276
8,35.764,/received_global_plan,wamv/wamv/base_link,16,8.9953,-0.9679,0.58006
8,35.764,/received_global_plan,wamv/wamv/base_link,17,9.5822,-0.5834,0.53709
8,35.764,/received_global_plan,wamv/wamv/base_link,18,10.1857,-0.2240,-0.00261
9,35.864,/received_global_plan,wamv/wamv/base_link,0,0.0042,-0.0045,-0.61522
9,35.864,/received_global_plan,wamv/wamv/base_link,1,0.6424,-0.4555,-0.66151
9,35.864,/received_global_plan,wamv/wamv/base_link,2,1.2532,-0.9311,-0.72636
9,35.864,/received_global_plan,wamv/wamv/base_link,3,1.8212,-1.4357,-0.77024
