plan_id,t,source,frame_id,point_index,x,y,yaw
9,34.829,/received_global_plan,wamv/wamv/base_link,14,10.1472,-0.1451,0.00056
10,34.929,/received_global_plan,wamv/wamv/base_link,0,-0.0080,0.0052,0.17467
10,34.929,/received_global_plan,wamv/wamv/base_link,1,0.8470,0.1561,0.52374
10,34.929,/received_global_plan,wamv/wamv/base_link,2,1.5988,0.5903,0.69828
10,34.929,/received_global_plan,wamv/wamv/base_link,3,2.2638,1.1484,0.52374
10,34.929,/received_global_plan,wamv/wamv/base_link,4,3.0156,1.5826,0.34920
10,34.929,/received_global_plan,wamv/wamv/base_link,5,3.8314,1.8797,0.17467
10,34.929,/received_global_plan,wamv/wamv/base_link,6,4.6864,2.0306,-0.14832
10,34.929,/received_global_plan,wamv/wamv/base_link,7,5.4179,1.9213,-0.42078
10,34.929,/received_global_plan,wamv/wamv/base_link,8,6.0943,1.6186,-0.47314
10,34.929,/received_global_plan,wamv/wamv/base_link,9,6.7550,1.2803,-0.47314
10,34.929,/received_global_plan,wamv/wamv/base_link,10,7.4157,0.9421,-0.47315
10,34.929,/received_global_plan,wamv/wamv/base_link,11,8.0765,0.6038,-0.47314
10,34.929,/received_global_plan,wamv/wamv/base_link,12,8.7372,0.2656,-0.42078
10,34.929,/received_global_plan,wamv/wamv/base_link,13,9.4136,-0.0371,-0.14832
10,34.929,/received_global_plan,wamv/wamv/base_link,14,10.1451,-0.1464,0.00014
11,35.028,/received_global_plan,wamv/wamv/base_link,0,-0.0111,0.0070,0.17454
11,35.028,/received_global_plan,wamv/wamv/base_link,1,0.8439,0.1578,0.52361
11,35.028,/received_global_plan,wamv/wamv/base_link,2,1.5958,0.5919,0.69816
11,35.028,/received_global_plan,wamv/wamv/base_link,3,2.2608,1.1500,0.52361
11,35.028,/received_global_plan,wamv/wamv/base_link,4,3.0127,1.5841,0.34907
11,35.028,/received_global_plan,wamv/wamv/base_link,5,3.8285,1.8810,0.17454
11,35.028,/received_global_plan,wamv/wamv/base_link,6,4.6835,2.0318,-0.14845
11,35.028,/received_global_plan,wamv/wamv/base_link,7,5.4150,1.9224,-0.42090
11,35.028,/received_global_plan,wamv/wamv/base_link,8,6.0913,1.6196,-0.47327
11,35.028,/received_global_plan,wamv/wamv/base_link,9,6.7520,1.2813,-0.47327
11,35.028,/received_global_plan,wamv/wamv/base_link,10,7.4127,0.9430,-0.47327
11,35.028,/received_global_plan,wamv/wamv/base_link,11,8.0734,0.6046,-0.47327
11,35.028,/received_global_plan,wamv/wamv/base_link,12,8.7341,0.2663,-0.42090
11,35.028,/received_global_plan,wamv/wamv/base_link,13,9.4105,-0.0365,-0.14845
11,35.028,/received_global_plan,wamv/wamv/base_link,14,10.1419,-0.1459,0.00001
12,35.129,/received_global_plan,wamv/wamv/base_link,0,-0.0113,0.0069,0.17545
12,35.129,/received_global_plan,wamv/wamv/base_link,1,0.8436,0.1585,0.52452
12,35.129,/received_global_plan,wamv/wamv/base_link,2,1.5951,0.5932,0.69906
12,35.129,/received_global_plan,wamv/wamv/base_link,3,2.2597,1.1519,0.52452
12,35.129,/received_global_plan,wamv/wamv/base_link,4,3.0111,1.5867,0.34998
12,35.129,/received_global_plan,wamv/wamv/base_link,5,3.8267,1.8844,0.17545
12,35.129,/received_global_plan,wamv/wamv/base_link,6,4.6816,2.0359,-0.14755
12,35.129,/received_global_plan,wamv/wamv/base_link,7,5.4131,1.9272,-0.42001
12,35.129,/received_global_plan,wamv/wamv/base_link,8,6.0897,1.6251,-0.47237
12,35.129,/received_global_plan,wamv/wamv/base_link,9,6.7507,1.2873,-0.47237
12,35.129,/received_global_plan,wamv/wamv/base_link,10,7.4117,0.9496,-0.47238
12,35.129,/received_global_plan,wamv/wamv/base_link,11,8.0727,0.6118,-0.47237
12,35.129,/received_global_plan,wamv/wamv/base_link,12,8.7337,0.2741,-0.42001
12,35.129,/received_global_plan,wamv/wamv/base_link,13,9.4104,-0.0281,-0.14755
12,35.129,/received_global_plan,wamv/wamv/base_link,14,10.1419,-0.1368,0.00091
13,35.229,/received_global_plan,wamv/wamv/base_link,0,-0.0133,0.0098,0.17474
13,35.229,/received_global_plan,wamv/wamv/base_link,1,0.8416,0.1607,0.52381
13,35.229,/received_global_plan,wamv/wamv/base_link,2,1.5934,0.5950,0.69836
13,35.229,/received_global_plan,wamv/wamv/base_link,3,2.2584,1.1532,0.52381
13,35.229,/received_global_plan,wamv/wamv/base_link,4,3.0101,1.5874,0.34927
13,35.229,/received_global_plan,wamv/wamv/base_link,5,3.8259,1.8845,0.17474
13,35.229,/received_global_plan,wamv/wamv/base_link,6,4.6809,2.0355,-0.14825
13,35.229,/received_global_plan,wamv/wamv/base_link,7,5.4123,1.9263,-0.42071
13,35.229,/received_global_plan,wamv/wamv/base_link,8,6.0888,1.6236,-0.47307
13,35.229,/received_global_plan,wamv/wamv/base_link,9,6.7495,1.2854,-0.47307
13,35.229,/received_global_plan,wamv/wamv/base_link,10,7.4103,0.9472,-0.47307
13,35.229,/received_global_plan,wamv/wamv/base_link,11,8.0711,0.6090,-0.47307
13,35.229,/received_global_plan,wamv/wamv/base_link,12,8.7318,0.2708,-0.42071
13,35.229,/received_global_plan,wamv/wamv/base_link,13,9.4082,-0.0318,-0.14825
13,35.229,/received_global_plan,wamv/wamv/base_link,14,10.1397,-0.1411,0.00021
14,35.329,/received_global_plan,wamv/wamv/base_link,0,-0.0137,0.0098,0.17477
14,35.329,/received_global_plan,wamv/wamv/base_link,1,0.8413,0.1608,0.52385
14,35.329,/received_global_plan,wamv/wamv/base_link,2,1.5930,0.5951,0.69839
14,35.329,/received_global_plan,wamv/wamv/base_link,3,2.2580,1.1533,0.52385
14,35.329,/received_global_plan,wamv/wamv/base_link,4,3.0097,1.5876,0.34931
14,35.329,/received_global_plan,wamv/wamv/base_link,5,3.8255,1.8847,0.17477
14,35.329,/received_global_plan,wamv/wamv/base_link,6,4.6805,2.0357,-0.14821
14,35.329,/received_global_plan,wamv/wamv/base_link,7,5.4119,1.9265,-0.42067
14,35.329,/received_global_plan,wamv/wamv/base_link,8,6.0883,1.6238,-0.47304
14,35.329,/received_global_plan,wamv/wamv/base_link,9,6.7491,1.2857,-0.47304
14,35.329,/received_global_plan,wamv/wamv/base_link,10,7.4099,0.9475,-0.47304
14,35.329,/received_global_plan,wamv/wamv/base_link,11,8.0707,0.6093,-0.47304
14,35.329,/received_global_plan,wamv/wamv/base_link,12,8.7315,0.2711,-0.42067
14,35.329,/received_global_plan,wamv/wamv/base_link,13,9.4079,-0.0315,-0.14821
14,35.329,/received_global_plan,wamv/wamv/base_link,14,10.1393,-0.1407,0.00024
15,35.429,/received_global_plan,wamv/wamv/base_link,0,-0.0137,0.0098,0.17477
15,35.429,/received_global_plan,wamv/wamv/base_link,1,0.8413,0.1608,0.52385
15,35.429,/received_global_plan,wamv/wamv/base_link,2,1.5930,0.5951,0.69839
15,35.429,/received_global_plan,wamv/wamv/base_link,3,2.2580,1.1533,0.52385
15,35.429,/received_global_plan,wamv/wamv/base_link,4,3.0097,1.5876,0.34931
15,35.429,/received_global_plan,wamv/wamv/base_link,5,3.8255,1.8847,0.17477
15,35.429,/received_global_plan,wamv/wamv/base_link,6,4.6805,2.0357,-0.14821
15,35.429,/received_global_plan,wamv/wamv/base_link,7,5.4119,1.9265,-0.42067
15,35.429,/received_global_plan,wamv/wamv/base_link,8,6.0883,1.6238,-0.47304
15,35.429,/received_global_plan,wamv/wamv/base_link,9,6.7491,1.2857,-0.47304
15,35.429,/received_global_plan,wamv/wamv/base_link,10,7.4099,0.9475,-0.47304
15,35.429,/received_global_plan,wamv/wamv/base_link,11,8.0707,0.6093,-0.47304
